id,en,ja,en_alias,ja_alias,count
P457,foundational text,設立文,establishing document,基本的なテキスト,50541
P5588,invasive to,侵入先,alien to,侵略的,107
P689,afflicts,障害部位,affects,苦しみ,4196
P2453,nominee,候補者,candidate,ノミニー,164
P3680,statement supported by,この主張の支持者,according to,主張者,58
P2568,repealed by,以下の文書によって廃止,revoked by,によって廃止,33377
P1011,excluding,以下を除く,except,以外,6
P4330,contains,内容,holds,含む,8269
P8739,prohibits,以下を禁止する,does not permit,禁止,16
P1012,including,以下を含める,with,含む,59
P3828,wears,以下を着用,clothing,着用,1752
P1706,together with,以下とともに,shared with,一緒に,72
P8058,symbol of,以下の象徴,logo of,以下のシンボル,49
P2378,issued by,ID発行者,assigned by,が発行,1797
P5009,complies with,適合基準,conforms to,に準拠,163
P1028,donated by,寄贈者,given by,寄付者,9673
P3452,inferred from,以下から推測,implied by,から推測,2
P1299,depicted by,描写した作品,portrayed by,によって描かれる,10979
P734,family name,姓,last name,名字,3641074
P3095,practiced by,従事者,studied by,研究者,4814
P8001,endorsed by,支持表明者,supported by,によって承認された,195
P748,appointed by,任命者,named by,によって任命された,5538
P8738,permits,以下を許可する,does not prohibit,許可,23
P172,ethnic group,民族,ethnicity,民族グループ,160731
P4032,reviewed by,査読者,examined by,にレビューされました,510
P47,shares border with,隣の国または行政区画,bordered by,隣国,605173
P7047,enemy of,敵,opponent of,の敵,3809
P197,adjacent station,隣の駅,next station,隣接駅,209079
P737,influenced by,影響を受けたもの,informed by,ロールモデル,18552
P3113,does not have part,以下を含まない,missing,一部がありません,499
P1557,manifestation of,表現する概念,realization of,の症状,2120
P4675,appears in the form of,変身先,transforms into,変身対象,373
P6477,does not have quality,持たない特性,does not have property,品質がありません,344
P547,commemorates,記念対象,memorial to,記念,26003
P31,instance of,分類,is a,種類,103114325
