id,en,zh,en_alias,zh_alias,count
P457,foundational text,成立文书,establishing document,基礎文本,50541
P106,occupation,职业,profession,職業,9260065
P689,afflicts,影响,affects,所受折磨,4196
P2438,narrator,敘事者,narrated by,旁白,2267
P20,place of death,死亡地,deathplace,逝世地,1212693
P3680,statement supported by,主张此叙述者,according to,根据,58
P2715,elected in,當選選舉,election,選於,183
P2568,repealed by,取代者,revoked by,被廢除,33377
P750,distributed by,經銷商,distributor,分銷商,158589
P1012,including,包括,with,包含,59
P4934,calculated from,计算方法,computed from,計算自,578
P4353,nominated by,提名者,nominee,提名人,230
P1049,worshipped by,受其崇拜,deity of,被崇拜,2380
P1924,vaccine for,疫苗用於,target disease,目標疾病,203
P7137,acknowledged,致谢,acknowledges,承認,858
P8324,funder,財務贊助者,funded by,贊助商,1904
P2378,issued by,發行者,assigned by,发行者,1797
P1399,convicted of,所犯罪名,guilty of,罪名,10528
P126,maintained by,维护者,maintenance,由維護,528563
P5009,complies with,符合標準,conforms to,符合,163
P57,director,导演,directed by,導演,332848
P7604,supervised by,監察人,has supervisor,監督人是,77
P941,inspired by,启发自,source of inspiration,靈感來自,5758
P1028,donated by,捐贈者,given by,捐赠者,9673
P3452,inferred from,推断依据,implied by,推论自,2
P1136,solved by,解決者,solver,解決了,116
P3148,repeals,廢除,cancels,廢止,28838
P4878,symbolizes,象征,a symbol for,象徵著,51
P459,determination method,确定方法,determined by,斷定方法,329
P1299,depicted by,描绘于,portrayed by,描述作品,10979
P2842,place of marriage,結婚地點,location of marriage,结婚地点,3
P734,family name,姓氏,last name,姓,3641074
P1046,discovery method,发现方法,detection method,發現方法,4253
P1652,referee,裁判,umpire,球證,19997
P9353,does not have cause,不是原因,not the reason,不是起因,11
P924,possible treatment,疗法,therapy,可能的治療,699
P8001,endorsed by,推薦者,supported by,支持者,195
P172,ethnic group,族群,ethnicity,民族,160731
P4967,prerequisite,前提,requirement,先決條件,191
P6193,ratified by,批准方,ratification,批准人,2631
P607,conflict,军事冲突,war,衝突,221623
P1593,defender,辯護人,attorney,後衛,278
P937,work location,工作地點,workplace,工作地点,339031
P610,highest point,最高点,highest peak,至高點,5503
P208,executive body,行政机构,executive branch,執行機構,1672
P790,approved by,獲准自,erected by,由通過,29098
P3831,object has role,客体角色,as,對像有角色,65
P47,shares border with,接壤,bordered by,邊界,605173
P461,opposite of,相反面,inverse,反义词,23857
P7047,enemy of,敌人,opponent of,的敵人,3809
P1889,different from,相异於,different than,不是,801466
P1382,partially coincident with,部分重合物,partially overlaps,部分重合,17887
P1038,relative,亲属,family,亲戚,52123
P197,adjacent station,相邻车站,next station,下一站,209079
P2789,connects with,连接,connected with,與,183333
P3342,significant person,重要人物,notable person,要人,15439
P3032,adjacent building,相邻建筑,located next to,邻接建筑,5242
P144,based on,改編自,fork of,改编自,52294
P737,influenced by,影响自,informed by,被影響,18552
P53,family,家族,house,贵族家系,89379
P1416,affiliation,所属机构,affiliated with,所屬機構,86685
P3113,does not have part,不包含的部分,missing,沒有部分,499
P2860,cites work,引用作品,bibliographic citation,引用工作,285213488
P1557,manifestation of,表现概念,realization of,的表現,2120
P4675,appears in the form of,形态,transforms into,形式出現,373
P6477,does not have quality,不具备的特性,does not have property,沒有質量,344
P547,commemorates,紀念對象,memorial to,纪念对象,26003
P825,dedicated to,呈献对象,dedication,致力於,50406
P31,instance of,隶属于,is a,是一個,103114325
P1441,present in work,登场作品,from work,出场作品,126749
