id,zh,ja,zh_alias,ja_alias,en,count
P457,成立文书,設立文,成立聲明,設立書類,foundational text,50541
P106,职业,職業,職業,職種,occupation,9260065
P689,影响,障害部位,所受折磨,影響,afflicts,4196
P5202,改編者,翻案,改编者,編曲,adapted by,3430
P509,死因,死因,死亡原因,死亡原因,cause of death,115623
P2715,當選選舉,選出選挙名,選於,選挙名,elected in,183
P2568,取代者,以下の文書によって廃止,被下列文件廢除,代替品,repealed by,33377
P7376,被穿著,着用者,佩戴者,服を着る,worn by,182
P495,原產地,本国,原产地,原産国,country of origin,1345801
P750,經銷商,配給元,分銷商,配給会社,distributed by,158589
P1011,排除,以下を除く,不含,以外,excluding,6
P4330,包含,内容,內容,含む,contains,8269
P1775,追隨對象,以下のフォロワー,追随对象,オブジェクトをフォロー,follower of,22
P2675,回应,返信先,回复,返信対象,reply to,387
P275,许可协议,利用許諾,许可证,許諾,copyright license,161241
P8810,亲代,親,父母,親世代,parent,13
P2505,承载,通るもの,過去的事,以下を通す,carries,12478
P1080,所属虚构世界,登場する架空世界,出現的虛構世界,架空の世界,from narrative universe,31385
P1875,代表者,仲介者,調解員,エージェント,represented by,8117
P1012,包括,以下を含める,包括：,含む,including,59
P5280,部首,部首,激進的,ラジカル,radical,2355
P8032,受害人,被害者,被害者,犠牲者,victim,870
P5824,撤銷,以下によって撤回,撤回者：,取り消す,is retracted by,1462
P3828,穿着,以下を着用,穿以下,服を着て,wears,1752
P69,就读于,出身校,毕业于,出身大学,educated at,2269402
P2825,途经,経由地,经过,経由,via,861
P4353,提名者,推薦者,提名人,ノミニー,nominated by,230
P1049,受其崇拜,信仰元,信仰來源,宗教,worshipped by,2380
P688,生物编码,遺伝子産物,基因產物,生物学的コード,encodes,973826
P5051,行車方向,方面,開往,終着駅,towards,64
P1706,连同,以下とともに,和：,一緒に,together with,72
P1318,证明者,証明した人,證明的人,証明者,proved by,125
P2578,研究對象,研究分野,研究对象,研究対象,studies,1954
P1454,法律形式,組織形態,組織形式,法人格,legal form,197130
P467,立法者,制定した立法府,已頒布的立法機關,制定した国会の会期,legislated by,46724
P2378,發行者,ID発行者,发行者,出版社,issued by,1797
P3294,编码,符号化,編碼,エンコーディング,encoding,2
P543,宣誓者,宣誓者,發誓者,誓う,oath made by,90
P511,头衔,敬称,尊稱,タイトル,honorific prefix,52387
P4908,電視劇季,シーズン,季節,期,season,63882
P1399,所犯罪名,罪名,罪名,犯罪の名前,convicted of,10528
P735,名字,名,名,個人名,given name,6673611
P126,维护者,管理者,行政人員,管理機関,maintained by,528563
P5009,符合標準,適合基準,合格標準,規格に準拠,complies with,163
P1027,颁发者,授与者,獲獎者,授章者,conferred by,15110
P941,启发自,着想を得たもの,啟發,インスパイアされたもの,inspired by,5758
P1028,捐贈者,寄贈者,捐赠者,寄付者,donated by,9673
P3452,推断依据,以下から推測,推论自,推論ベース,inferred from,2
P485,存檔于,アーカイブ,檔案,でアーカイブ,archives at,75475
P1136,解決者,解いた人,解決它的人,ソルバー,solved by,116
P3148,廢除,以下の文書を廃止,廢止,廃止,repeals,28838
P4878,象征,象徴するもの,象徵,シンボル,symbolizes,51
P3938,命名者,命名者,命名器,によって名付けられた,named by,628
P642,範圍,以下についての,範圍,範囲,of,5091
P702,編碼基因,コードしている遺伝子,基因編碼,コーディング遺伝子,encoded by,976836
P1299,描绘于,描写した作品,描述作品,に描かれています,depicted by,10979
P1589,最深點,最も低い地点,最低點,最低地点,lowest point,512
P3095,从业者,従事者,專業人士,研究者,practiced by,4814
P8001,推薦者,支持表明者,支持者,レコメンダー,endorsed by,195
P748,委任者,任命者,任命人,appointer,appointed by,5538
P872,印刷自,印刷者,打印機,から印刷,printed by,2905
P1433,发表于,叢書,收录于,に公開,published in,37916091
P790,獲准自,承認者,授權人,認可者,approved by,29098
P3776,抑制剂,以下の阻害剤,以下抑製劑,以下の阻害薬,inhibitor of,101
P530,邦交國,国交のある国,有外交關係的國家,同盟国,diplomatic relation,7046
P47,接壤,隣の国または行政区画,邊界,隣国,shares border with,605173
P461,相反面,反対の概念,反义词,対義語,opposite of,23857
P460,据称相同,同一とされる事物,據稱相同,同じとされる事物,said to be the same as,285208
P1382,部分重合物,重複,複製,重用,partially coincident with,17887
P1038,亲属,親族,亲戚,親戚,relative,52123
P2789,连接,以下と接続,與連接,と接続,connects with,183333
P3032,相邻建筑,隣接する建築物,邻接建筑,隣の建物,adjacent building,5242
P737,影响自,影響を受けたもの,做作的,ロールモデル,influenced by,18552
P3113,不包含的部分,以下を含まない,不包括：,一部含まれていません,does not have part,499
P807,分离自,以下より分立,分離自,母体,separated from,2321
P1557,表现概念,表現する概念,表達的概念,パフォーマンスコンセプト,manifestation of,2120
P6477,不具备的特性,持たない特性,不具備的特徵,利用できない機能,does not have quality,344
P2650,关注对象,興味の対象,感興趣的目標,研究対象,interested in,14947
P5004,反對,以下に反対,與以下相反,以下と対立,in opposition to,461
P1268,代表对象,以下の代表,以下代表,公認政党,represents,5411
P825,呈献对象,献呈先,奉獻目的地,祭神,dedicated to,50406
P31,隶属于,分類,是一個,種類,instance of,103114325
