id,en,es,fr,de,count
P530,diplomatic relation,relación diplomática,relation diplomatique,diplomatische Beziehung,7046
P47,shares border with,comparte fronteras con,limitrophe de,gemeinsame Grenze mit,605173
P461,opposite of,opuesto a,contraire,Gegenteil von,23857
P460,said to be the same as,se dice que es lo mismo que,réputé identique à,eventuell gleichwertig,285208
P3373,sibling,hermano o hermana,frère ou sœur,Geschwister,407131
P26,spouse,cónyuge,conjoint,Ehepartner(in),731197
P7047,enemy of,enemigo de,ennemi de,Feind von,3809
P451,unmarried partner,pareja,partenaire,Lebenspartner,14156
P1889,different from,diferente de,à ne pas confondre avec,verschieden von,801466
P3403,coextensive with,mismo territorio que,a le même territoire que,koexistiert mit,4076
P1382,partially coincident with,parcialmente coincidente con,coïncide partiellement avec,teilweise übereinstimmend mit,17887
P4777,has boundary,delimitado por,délimité par,hat als Grenze,1156
P1038,relative,pariente,parentèle,Verwandte,52123
P197,adjacent station,estación adyacente,gare voisine,benachbarte Station,209079
P2789,connects with,se conecta con,se connecte avec,verbunden mit,183333
P3342,significant person,persona relevante,personne clé,relevante Person,15439
P399,companion of,compañero de,compagnon de,Begleiter von,4476
P129,physically interacts with,interactúa físicamente con,interagit physiquement avec,interagiert physikalisch mit,9480
P1322,dual to,dual de,dual de,dual zu,351
P8702,parallel street,calle paralela,rue parallèle,Parallelstraße,54
P3032,adjacent building,edificio adyacente,bâtiment adjacent,Nachbargebäude,5242
P6185,tautomer of,tautómero de,tautomère de,Tautomer von,1063
P3179,territory overlaps,solapamiento territorial,recouvrement territorial,Territorium überschneidet sich mit,8370
P737,influenced by,influenciado por,influencé par,beeinflusst von,18552
P2329,antagonist muscle,músculo antagonista,muscle antagoniste,antagonistischer Muskel,101
P2652,partnership with,en sociedad con,en partenariat avec,Geschäftsbeziehung zu,3328
P53,family,familia,famille,Familie,89379
P3113,does not have part,no contiene,ne comprend pas,enthält nicht,499
P514,interleaves with,intercalada con,s'imbrique avec,verzahnt mit,31
P8956,compatible with,compatible con,compatible avec,kompatibel mit,222
P2210,relative to,relativo a,relatif à,Bezugspunkt,48
P2650,interested in,interesado en,intéressé par,interessiert an,14947
